"tourney_id","rank_P_1","rank_P_2","match_num","tourney_date_P_1","id_P_1","id_P_2","name_P_1","name_P_2","tourney_name","Win_P_1"
"2021-8994",2,14,297,20210621,106421,134770,"Daniil Medvedev","Casper Ruud","Mallorca",1
"2019-0375",128,17,293,20190204,104571,106298,"Marcos Baghdatis","Lucas Pouille","Montpellier",1
"2022-0352",23,4,288,20221031,207518,134770,"Lorenzo Musetti","Casper Ruud","Paris Masters",1
"2021-560",61,30,103,20210830,111456,105676,"Mackenzie Mcdonald","David Goffin","Us Open",1
"2018-560",20,97,174,20180827,106432,106148,"Borna Coric","Roberto Carballes Baena","US Open",1
"2022-0352",7,23,295,20221031,104925,207518,"Novak Djokovic","Lorenzo Musetti","Paris Masters",1
"2018-M004",8,29,296,20180226,104731,111202,"Kevin Anderson","Hyeon Chung","Acapulco",1
"2018-M021",8,96,278,20180507,104731,105062,"Kevin Anderson","Mikhail Kukushkin","Madrid Masters",1
"2022-0741",14,39,296,20220620,126203,122330,"Taylor Fritz","Alexander Bublik","Eastbourne",1
"2020-0352",64,30,268,20201102,103852,105936,"Feliciano Lopez","Filip Krajinovic","Paris Masters",1
"2020-580",100,12,216,20200120,105815,104926,"Tennys Sandgren","Fabio Fognini","Australian Open",1
"2019-M015",7,29,274,20190930,126774,105583,"Stefanos Tsitsipas","Dusan Lajovic","Beijing",1
"2021-8998",71,98,256,20210201,105882,106148,"Stefano Travaglia","Roberto Carballes Baena","Great Ocean Road Open",1
"2019-M021",2,30,270,20190506,104745,200000,"Rafael Nadal","Felix Auger Aliassime","Madrid Masters",1
"2019-0337",22,139,290,20191021,126094,111202,"Andrey Rublev","Hyeon Chung","Vienna",1
"2019-5014",7,19,282,20191007,126774,200000,"Stefanos Tsitsipas","Felix Auger Aliassime","Shanghai Masters",1
"2022-0414",43,32,284,20220718,105936,202104,"Filip Krajinovic","Sebastian Baez","Hamburg",1
"2019-M006",2,113,286,20190304,104745,105936,"Rafael Nadal","Filip Krajinovic","Indian Wells Masters",1
"2021-M-DC-2021-FLS-C-M-FRA-CZE-01",71,82,2,20211125,105173,106210,"Adrian Mannarino","Jiri Vesely","Davis Cup Finals RR: FRA vs CZE",1
"2022-0352",7,5,298,20221031,104925,126774,"Novak Djokovic","Stefanos Tsitsipas","Paris Masters",1
"2022-0404",19,12,297,20220307,207989,111815,"Carlos Alcaraz","Cameron Norrie","Indian Wells Masters",1
"2020-0352",2,15,297,20201102,104745,105807,"Rafael Nadal","Pablo Carreno Busta","Paris Masters",1
"2021-540",91,54,191,20210628,105902,105023,"James Duckworth","Sam Querrey","Wimbledon",1
"2022-0741",14,94,289,20220620,126203,106329,"Taylor Fritz","Thiago Monteiro","Eastbourne",1
"2022-0414",62,30,298,20220718,207518,202103,"Lorenzo Musetti","Francisco Cerundolo","Hamburg",1
"2022-0717",94,52,283,20220404,106401,111456,"Nick Kyrgios","Mackenzie Mcdonald","Houston",1
"2021-9426",16,83,270,20210105,105676,105732,"David Goffin","Pierre Hugues Herbert","Antalya",1
"2019-0319",56,63,278,20190729,132283,105643,"Lorenzo Sonego","Federico Delbonis","Kitzbuhel",1
"2018-5014",3,21,286,20181008,104925,106065,"Novak Djokovic","Marco Cecchinato","Shanghai Masters",1
"2021-1536",44,27,289,20210503,122330,106234,"Alexander Bublik","Aslan Karatsev","Madrid Masters",1
"2020-0495",9,56,296,20200224,104792,104755,"Gael Monfils","Richard Gasquet","Dubai",1
"2020-0375",10,54,286,20200203,105676,122330,"David Goffin","Alexander Bublik","Montpellier",1
"2018-0429",35,29,289,20181015,104259,104269,"Philipp Kohlschreiber","Fernando Verdasco","Stockholm",1
"2018-M007",39,175,285,20180319,104269,106423,"Fernando Verdasco","Thanasi Kokkinakis","Miami Masters",1
"2022-0404",20,4,300,20220307,126203,104745,"Taylor Fritz","Rafael Nadal","Indian Wells Masters",1
"2019-0414",16,56,288,20190722,105932,106228,"Nikoloz Basilashvili","Juan Ignacio Londero","Hamburg",1
"2018-7480",74,25,295,20180730,111815,105173,"Cameron Norrie","Adrian Mannarino","Los Cabos",1
"2019-M021",25,19,266,20190506,106043,106065,"Diego Schwartzman","Marco Cecchinato","Madrid Masters",1
"2021-560",130,43,141,20210830,105967,105357,"Henri Laaksonen","John Millman","Us Open",1
"2019-7485",62,61,280,20191014,103852,111815,"Feliciano Lopez","Cameron Norrie","Antwerp",1
"2018-0414",81,36,300,20180723,105932,104919,"Nikoloz Basilashvili","Leonardo Mayer","Hamburg",1
"2019-0319",74,62,271,20190729,104871,106065,"Jeremy Chardy","Marco Cecchinato","Kitzbuhel",1
"2022-540",153,102,150,20220627,110602,105487,"Dennis Novak","Facundo Bagnis","Wimbledon",1
"2021-0404",18,71,249,20211004,104792,126149,"Gael Monfils","Gianluca Mager","Indian Wells Masters",1
"2022-580",69,49,125,20220117,105173,105902,"Adrian Mannarino","James Duckworth","Australian Open",1
"2021-0451",33,14,289,20210308,126203,105676,"Taylor Fritz","David Goffin","Doha",1
"2018-M006",6,71,262,20180305,106233,126774,"Dominic Thiem","Stefanos Tsitsipas","Indian Wells Masters",1
